id	title	description	link	image_link	brand	price	availability	item_group_id	google_product_category	product_type	color	material	size	condition	gender	age_group	sale_price	sale_price_effective_date	additional_image_link	custom_label_0
411_45	Duża skórzana torebka shopper Leather Country	Duża skórzana torebka shopper Leather Country z miękkiej skóry naturalnej. Odpinana kopertówka, 3 kolory.	https://www.italy-shop.eu/Duza-skorzana-torebka-shopper-Leather-Country-p411	https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6826%5D_1200.jpg	Leather Country	550.00 PLN	in_stock	411	3032	Torebki	Czarny	Skóra gładka		new	female	adult			https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6812%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6823%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6814%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6816%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6824%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6825%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6815%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6829%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6826%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6827%5D_1200.jpg	other
411_52	Duża skórzana torebka shopper Leather Country	Duża skórzana torebka shopper Leather Country z miękkiej skóry naturalnej. Odpinana kopertówka, 3 kolory.	https://www.italy-shop.eu/Duza-skorzana-torebka-shopper-Leather-Country-p411	https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6812%5D_1200.jpg	Leather Country	550.00 PLN	in_stock	411	3032	Torebki	Brązowy	Skóra gładka		new	female	adult			https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6812%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6823%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6814%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6816%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6824%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6825%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6815%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6829%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6826%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6827%5D_1200.jpg	other
411_56	Duża skórzana torebka shopper Leather Country	Duża skórzana torebka shopper Leather Country z miękkiej skóry naturalnej. Odpinana kopertówka, 3 kolory.	https://www.italy-shop.eu/Duza-skorzana-torebka-shopper-Leather-Country-p411	https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6826%5D_1200.jpg	Leather Country	550.00 PLN	in_stock	411	3032	Torebki	Bordowy	Skóra gładka		new	female	adult			https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6812%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6823%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6814%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6816%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6824%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6825%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6815%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6829%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6826%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6827%5D_1200.jpg	other
411_68	Duża skórzana torebka shopper Leather Country	Duża skórzana torebka shopper Leather Country z miękkiej skóry naturalnej. Odpinana kopertówka, 3 kolory.	https://www.italy-shop.eu/Duza-skorzana-torebka-shopper-Leather-Country-p411	https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6829%5D_1200.jpg	Leather Country	550.00 PLN	in_stock	411	3032	Torebki	Oliwkowy	Skóra gładka		new	female	adult			https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6812%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6823%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6814%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6816%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6824%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6825%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6815%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6829%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6826%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6827%5D_1200.jpg	other
411_72	Duża skórzana torebka shopper Leather Country	Duża skórzana torebka shopper Leather Country z miękkiej skóry naturalnej. Odpinana kopertówka, 3 kolory.	https://www.italy-shop.eu/Duza-skorzana-torebka-shopper-Leather-Country-p411	https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6814%5D_1200.jpg	Leather Country	550.00 PLN	in_stock	411	3032	Torebki	Taupe	Skóra gładka		new	female	adult			https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6812%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6823%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6814%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6816%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6824%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6825%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6815%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6829%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6826%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Duza-skorzana-torebka-shopper-Leather-Country_%5B6827%5D_1200.jpg	other
392_56_40	Lakierowane czółenka Spaziomoda — bordowe	Czółenka Spaziomoda z bordowej lakierowanej skóry. Ostry szpic, szpilka 10 cm, wnętrze skórzane.	https://www.italy-shop.eu/Lakierowane-czolenka-Spaziomoda-bordowe-p392	https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6674%5D_1200.jpg	Spaziomoda	980.00 PLN	in_stock	392	187	Obuwie	Bordowy	Skóra lakierowana	36	new	female	adult			https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6661%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6662%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6663%5D_1200.jpg	jesen
392_56_41	Lakierowane czółenka Spaziomoda — bordowe	Czółenka Spaziomoda z bordowej lakierowanej skóry. Ostry szpic, szpilka 10 cm, wnętrze skórzane.	https://www.italy-shop.eu/Lakierowane-czolenka-Spaziomoda-bordowe-p392	https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6674%5D_1200.jpg	Spaziomoda	980.00 PLN	in_stock	392	187	Obuwie	Bordowy	Skóra lakierowana	37	new	female	adult			https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6661%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6662%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6663%5D_1200.jpg	jesen
392_56_42	Lakierowane czółenka Spaziomoda — bordowe	Czółenka Spaziomoda z bordowej lakierowanej skóry. Ostry szpic, szpilka 10 cm, wnętrze skórzane.	https://www.italy-shop.eu/Lakierowane-czolenka-Spaziomoda-bordowe-p392	https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6674%5D_1200.jpg	Spaziomoda	980.00 PLN	in_stock	392	187	Obuwie	Bordowy	Skóra lakierowana	38	new	female	adult			https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6661%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6662%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6663%5D_1200.jpg	jesen
392_56_43	Lakierowane czółenka Spaziomoda — bordowe	Czółenka Spaziomoda z bordowej lakierowanej skóry. Ostry szpic, szpilka 10 cm, wnętrze skórzane.	https://www.italy-shop.eu/Lakierowane-czolenka-Spaziomoda-bordowe-p392	https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6674%5D_1200.jpg	Spaziomoda	980.00 PLN	in_stock	392	187	Obuwie	Bordowy	Skóra lakierowana	39	new	female	adult			https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6661%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6662%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6663%5D_1200.jpg	jesen
392_56_44	Lakierowane czółenka Spaziomoda — bordowe	Czółenka Spaziomoda z bordowej lakierowanej skóry. Ostry szpic, szpilka 10 cm, wnętrze skórzane.	https://www.italy-shop.eu/Lakierowane-czolenka-Spaziomoda-bordowe-p392	https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6674%5D_1200.jpg	Spaziomoda	980.00 PLN	in_stock	392	187	Obuwie	Bordowy	Skóra lakierowana	40	new	female	adult			https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6661%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6662%5D_1200.jpg,https://www.italy-shop.eu/images/ly453/6000-7000/Lakierowane-czolenka-Spaziomoda-bordowe_%5B6663%5D_1200.jpg	jesen
